id_index,level,occ,race,server_id,deposit_year,deposit_his,role_count,'prediction margin','predicted class',class
125,13,18,0,1034,50,50,8,-1,N,?
126,10,6,0,1083,50,50,8,1,Y,?
127,95,1,0,1056,50,50,8,0.998682,Y,?
128,4,16,0,1083,50,50,8,-0.999412,N,?
129,5,18,0,1034,50,50,8,-1,N,?
130,13,2,0,1078,50,50,8,0.999999,Y,?
131,89,6,0,1078,50,50,8,0.99995,Y,?
132,91,1,0,1056,50,50,8,0.99903,Y,?
133,68,20,0,1034,30,30,4,-1,N,?
134,80,20,0,1034,30,30,4,-1,N,?
135,78,2,0,1034,30,30,4,0.9738,Y,?
136,85,20,0,1034,30,30,4,-1,N,?
137,130,6,0,1083,1788,1788,1,-1,N,?
138,130,2,0,1078,1458,1458,1,-1,N,?
139,130,6,0,1056,191191,504621,1,-0.999988,N,?
140,130,16,0,1048,79,411,1,-1,N,?
141,130,16,0,1034,4140,16480,2,-1,N,?
142,25,3,0,1048,4140,16480,2,-1,N,?
143,130,2,0,1007,100,21240,1,-1,N,?
144,130,20,0,1083,65,75,1,-1,N,?
145,1,3,0,1018,60,120,2,0.999856,Y,?
146,130,17,0,1018,60,120,2,-1,N,?
147,130,2,0,1007,180,1011,1,-1,N,?
148,130,6,0,1018,30,30,1,-0.716086,N,?
149,130,2,0,1048,800,2938,1,-1,N,?
150,124,6,0,1083,78,78,1,-0.530814,N,?
151,38,20,0,1078,50,50,2,-1,N,?
152,130,5,0,1018,0,0,1,-0.646987,N,?
153,130,6,0,1018,6,2749,1,-1,N,?
154,130,1,0,1083,210,210,1,-1,N,?
155,130,6,0,1078,12078,9904,1,-1,N,?
156,130,16,0,1018,570,12056,1,-1,N,?
157,130,6,1,1078,457,457,1,-1,N,?
158,130,16,0,1054,150,209,1,-1,N,?
159,130,16,0,1083,138,138,1,-1,N,?
160,95,1,0,1083,100,312,2,-0.99918,N,?
161,64,18,0,1083,100,312,2,-1,N,?
162,130,10,0,1018,30,140,1,-0.999967,N,?
163,15,16,0,1007,6676,23798,1,-1,N,?
164,127,16,0,1083,190,190,1,-1,N,?
165,130,2,0,1022,30,3187,2,-1,N,?
166,130,10,0,1019,30,3187,2,-1,N,?
167,130,2,0,1018,40,40,1,-0.323373,N,?
168,130,1,0,1034,70,499,1,-1,N,?
169,130,1,0,1048,1029,157797,1,-1,N,?
170,130,6,0,1048,100,650,1,-1,N,?
171,130,16,0,1034,900,6730,1,-1,N,?
172,130,16,0,1007,30,540,1,-1,N,?
173,75,8,0,1054,2300,2300,2,-1,N,?
